model_name,epoch,train_accuracy,val_accuracy,train_loss,val_loss
DenseNet,0,0.5482,0.7736,1.8751074062665303,0.7939044056415557
DenseNet,1,0.8540666666666666,0.8770666666666667,0.5055878990252812,0.40943197951316834
DenseNet,2,0.8955333333333333,0.8936,0.3423856711705526,0.34081886784633003
DenseNet,3,0.9021333333333333,0.8922666666666667,0.31069368333816527,0.3353956153502067
DenseNet,4,0.9149333333333334,0.9154666666666667,0.2588823242664337,0.2699261514186859
DenseNet,5,0.9206,0.9082666666666667,0.24103149591286976,0.2978100106875102
DenseNet,6,0.9304,0.9194666666666667,0.20877352627515794,0.24465302904248237
DenseNet,7,0.9314,0.9085333333333333,0.20191618892153104,0.320740991804873
DenseNet,8,0.9397333333333333,0.9122666666666667,0.17769177926778792,0.2652016966704279
DenseNet,9,0.9416,0.9312,0.16393435342113177,0.22942078268329302
DenseNet,10,0.9460666666666666,0.9333333333333333,0.1662069759706656,0.2278022224329412
DenseNet,11,0.9499333333333333,0.9144,0.14732298369010288,0.3013439208012074
DenseNet,12,0.9518666666666666,0.8952,0.14301435752461353,0.35869369369099535
DenseNet,13,0.9584666666666667,0.9394666666666667,0.11500010978529851,0.21275598039726415
DenseNet,14,0.9537333333333333,0.924,0.12919160902897517,0.2829944023868069
DenseNet,15,0.9586,0.9336,0.11624255111664533,0.24050831992129484
DenseNet,16,0.9611333333333333,0.9336,0.10744667371710141,0.21423946727067233
DenseNet,17,0.9690666666666666,0.9309333333333333,0.09166969806700945,0.2665662111511221
DenseNet,18,0.9653333333333334,0.9309333333333333,0.09516614388078451,0.25995185762941836
DenseNet,19,0.9694666666666667,0.9338666666666666,0.08511769672632218,0.2372560276399056
